model,accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_ms_per_record
Random Forest,0.8158974358974359,0.8122668175412702,0.8158974358974358,0.8085289840849422,13.275419623999824,0.0254653511110985
Logistic Regression,0.8025641025641026,0.7964556435438548,0.8025641025641026,0.7978039153003713,9.151331645000027,0.00980749555559218
Decision Tree,0.7917948717948718,0.7884981437554113,0.7917948717948716,0.7891448606100712,2.821901202999925,0.0074643451282301815
KNN,0.7516239316239316,0.7464386328879702,0.7516239316239316,0.7482214376197539,0.34058879999975034,0.12110764427350847
